squads_team_norm,squads_sample_original,fbref_team_norm,fbref_sample_original
1. fsv mainz 05,1. fsv mainz 05,mainz 05,Mainz 05
1. heidenheim 1846,1. fc heidenheim 1846,heidenheim,Heidenheim
1. koln,1. fc koln,koln,K̦ln
1. union berlin,1. fc union berlin,union berlin,Union Berlin
bayer 04 leverkusen,bayer 04 leverkusen,leverkusen,Leverkusen
borussia dortmund,borussia dortmund,dortmund,Dortmund
borussia monchengladbach,borussia monchengladbach,gladbach,Gladbach
fc augsburg,fc augsburg,augsburg,Augsburg
fc st. pauli,fc st. pauli,st. pauli,St. Pauli
hamburger sv,hamburger sv,hamburger sv,Hamburger SV
holstein kiel,holstein kiel,holstein kiel,Holstein Kiel
rb leipzig,rb leipzig,rb leipzig,RB Leipzig
sc freiburg,sc freiburg,freiburg,Freiburg
sv werder bremen,sv werder bremen,werder bremen,Werder Bremen
tsg 1899 hoffenheim,tsg 1899 hoffenheim,hoffenheim,Hoffenheim
vfb stuttgart,vfb stuttgart,stuttgart,Stuttgart
vfl bochum,vfl bochum,bochum,Bochum
vfl wolfsburg,vfl wolfsburg,wolfsburg,Wolfsburg
